asset,width,height,bpp,bytes,current_source,currently_staged_for_tomba,rendered_slot_today,replacement_request
boxart.tga,512,512,24,786450,launcher_assets/img/boxart.tga,yes,"GAME panel art; fit to 248-368 px high in a 400 px logical column","1024x1024 px or larger square source; transparent optional; flattened PNG/TGA"
brand_psx.tga,70,70,32,19618,recomp-ui/assets/consoles/psx/img/brand_psx.tga,yes,"Header brand; rendered about 32x32 logical px for PSX profile","Tomba header mark or logo; 512x512 transparent source plus 160x160 flattened runtime asset"
brand_mark.tga,496,355,32,704364,recomp-ui/assets/common/img/brand_mark.tga,yes,"Staged common fallback brand; PSX profile loads brand_psx.tga instead","Keep only if generic fallback is redesigned"
pad_analog.tga,344,200,32,275218,recomp-ui/assets/consoles/psx/img/pad_analog.tga,yes,"Controller card art; fit within 120x78 logical px","688x400 transparent source, or redesign mockup dimensions if changing card layout"
pad_digital.tga,346,198,32,274050,recomp-ui/assets/consoles/psx/img/pad_digital.tga,yes,"Digital-only controller card art; fit within 120x78 logical px","692x396 transparent source, or redesign mockup dimensions if changing card layout"
memcard.tga,148,164,32,97106,recomp-ui/assets/consoles/psx/img/memcard.tga,yes,"Memory-card slot art; 108 px high normally, 92-200 px high in fill layout","512x568 transparent source preferred"
verdict_ok.tga,100,100,32,40018,recomp-ui/assets/common/img/verdict_ok.tga,yes,"Disc-verification icon; displayed about 24 px high beside status text","200x200 transparent icon source"
verdict_warn.tga,100,100,32,40018,recomp-ui/assets/common/img/verdict_warn.tga,yes,"Disc-verification warning icon; displayed about 24 px high","200x200 transparent icon source"
verdict_bad.tga,100,100,32,40018,recomp-ui/assets/common/img/verdict_bad.tga,yes,"Disc-verification failure icon; displayed about 24 px high","200x200 transparent icon source"
verdict_none.tga,100,100,32,40018,recomp-ui/assets/common/img/verdict_none.tga,yes,"No-disc/unrecognized icon; displayed about 24 px high","200x200 transparent icon source"
disc.tga,288,294,32,338706,recomp-ui/assets/consoles/psx/img/disc.tga,no,"Available PSX raw art, not loaded by current ImGui launcher","Optional Tomba disc icon if mockup uses it; 512x512 transparent source"
check_on.tga,36,36,32,5202,recomp-ui/assets/common/img/check_on.tga,no,"Legacy/common asset; current ImGui checkbox is style/vector","Optional custom checkbox icon; 72x72 transparent source"
check_off.tga,36,36,32,5202,recomp-ui/assets/common/img/check_off.tga,no,"Legacy/common asset; current ImGui checkbox is style/vector","Optional custom checkbox icon; 72x72 transparent source"
caret.tga,32,32,32,4114,recomp-ui/assets/common/img/caret.tga,no,"Legacy/common asset; current ImGui combo caret is style/vector","Optional custom dropdown caret; 64x64 transparent source"
